"TRIP_ID","DROPTIME","DROPADDRESS","DROPLONG","DROPLAT","PICKUPTIME","PICKUPADDRESS","PICKUPLONG","PICKUPLAT"
19510,"10/2/12 8:50 AM","85 Dartmouth St Boston Ma 02116",-71.075128,42.345587,19510,"10/2/12 8:50 AM","85 Dartmouth St Boston Ma 02116",-71.075127,42.345585
38298,"10/3/12 8:15 AM","40 S Charles St Boston Ma 02116",-71.067272,42.351732,38298,"10/3/12 8:08 AM","720 Atlantic Ave Boston Ma 02111",-71.055707,42.351338
56694,"10/5/12 10:52 PM","15 Mount Vernon St Boston Ma 02108",-71.064927,42.358340,56694,"10/5/12 10:42 PM","770 Atlantic Ave Boston Ma 02111",-71.056658,42.350200
75711,"10/6/12 10:28 AM","40 Trilling Way Boston Ma 02210",-71.039892,42.348057,75711,"10/6/12 10:20 AM","Unnamed Road Boston Ma",-71.022273,42.365220
95142,"10/9/12 11:28 AM","170 Berkeley St Boston Ma 02116",-71.072332,42.349630,95142,"10/9/12 11:16 AM","760 Atlantic Ave Boston Ma 02111",-71.056622,42.350237
114456,"10/6/12 6:45 PM","870 Boylston St Boston Ma 02199",-71.083593,42.348562,114456,"10/6/12 6:31 PM","Unnamed Road Boston Ma",-71.040945,42.348775
134174,"10/6/12 7:12 PM","207 Clarendon St Boston Ma",-71.074998,42.349973,134174,"10/6/12 7:04 PM","Unnamed Road Boston Ma",-71.052507,42.354390
153955,"10/5/12 6:32 PM","I-90 @ Dartmouth St Boston Ma",-71.076296,42.347921,153955,"10/5/12 6:21 PM","Commonwealth Ave Boston Ma",-71.116244,42.351050
173946,"10/8/12 12:52 PM","320 Summer St Boston Ma 02210",-71.048067,42.349247,173946,"10/8/12 12:43 PM","Hanover St Boston Ma",-71.056348,42.362330
193732,"10/8/12 1:26 PM","80 Columbus Ave Boston Ma 02116",-71.070270,42.349945,193732,"10/8/12 1:20 PM","830 Boylston St Boston Ma 02199",-71.082790,42.348673
213123,"10/10/12 7:12 AM","170 Summer St Boston Ma 02110",-71.055990,42.352737,213123,"10/10/12 7:03 AM","Unnamed Road Boston Ma",-71.022428,42.365442
232446,"10/10/12 4:35 PM","50 N073 Boston Ma",-71.114545,42.300695,232446,"10/10/12 4:35 PM","60 N073 Boston Ma",-71.114547,42.300670
251728,"10/11/12 11:07 PM","422 Hanover St Boston Ma 02113",-71.052817,42.366272,251728,"10/11/12 10:53 PM","160 Brookline Ave Boston Ma 02215",-71.100862,42.344740
271087,"10/11/12 7:25 PM","180 Bay State Road Boston Ma 02215",-71.101713,42.350500,271087,"10/11/12 7:16 PM","Unnamed Road Boston Ma",-71.106047,42.337710
290479,"10/12/12 10:39 AM","660 Boylston St Boston Ma 02116",-71.078443,42.349740,290479,"10/12/12 10:39 AM","690 Boylston St Boston Ma 02116",-71.079257,42.349520
310227,"10/7/12 1:04 AM","120 Stuart St Boston Ma 02116",-71.065545,42.351192,310227,"10/7/12 12:53 AM","220 Tremont St Boston Ma 02116",-71.064613,42.351442
330256,"10/14/12 1:26 PM","260 Northern Ave Boston Ma 02210",-71.038765,42.348778,330256,"10/14/12 1:16 PM","10 Stuart St Boston Ma 02116",-71.063357,42.350787
350498,"10/15/12 7:48 AM","850 Boylston St Boston Ma 02199",-71.083093,42.348468,350498,"10/15/12 7:44 AM","1310 Boylston St Boston Ma 02215",-71.098060,42.344368
370549,"10/24/12 12:31 PM","40 Trilling Way Boston Ma 02210",-71.039770,42.348157,370549,"10/24/12 12:25 PM","Unnamed Road Boston Ma",-71.016925,42.366342
390031,"10/23/12 7:42 PM","230 Huntington Ave Boston Ma",-71.083567,42.343845,390031,"10/23/12 7:24 PM","Unnamed Road Boston Ma",-71.018738,42.368993
409541,"10/15/12 9:04 PM","730 Boylston St Boston Ma 02116",-71.080485,42.349198,409541,"10/15/12 8:49 PM","129 Salem St Boston Ma 02113",-71.055355,42.365153
429018,"10/20/12 7:54 AM","Unnamed Road Boston Ma",-71.037368,42.344528,429018,"10/20/12 7:52 AM","259 D St Boston Ma 02127",-71.050723,42.338885
448178,"10/28/12 12:04 PM","290 Huntington Ave Boston Ma",-71.089545,42.340013,448178,"10/28/12 12:01 PM","Huntington Ave Boston Ma",-71.099812,42.335935
468062,"10/21/12 12:27 PM","250 Stuart St Boston Ma 02116",-71.069222,42.350358,468062,"10/21/12 12:17 PM","46 Dalton St Boston Ma 02115",-71.084893,42.346597
487529,"10/9/12 5:37 PM","Bates Pl Boston Ma",-71.064122,42.350817,487529,"10/9/12 5:31 PM","80 Federal St Boston Ma 02110",-71.056400,42.355353
507657,"10/22/12 5:10 AM","Unnamed Road Boston Ma",-71.022107,42.365133,507657,"10/22/12 5:03 AM","Unnamed Road Boston Ma",-71.050878,42.356088
527471,"10/23/12 12:10 PM","70 Boston Pl Boston Ma 02108",-71.058208,42.358482,527471,"10/23/12 12:00 PM","Arlington St Boston Ma",-71.071367,42.353120
546750,"10/25/12 11:11 AM","Arlington St Boston Ma",-71.070818,42.352057,546750,"10/25/12 11:06 AM","Unnamed Road Boston Ma",-71.084103,42.346467
565998,"10/25/12 9:24 PM","Unnamed Road Boston Ma",-71.071135,42.360878,565998,"10/25/12 9:13 PM","840 Boylston St Boston Ma 02199",-71.082930,42.348522
585603,"10/26/12 2:12 AM","53 Fargo St Boston Ma 02210",-71.043543,42.346143,585603,"10/26/12 2:08 AM","70 State St Boston Ma 02109",-71.056263,42.358922
605928,"10/27/12 6:51 PM","100 Newbury St Boston Ma 02116",-71.075708,42.351303,605928,"10/27/12 6:41 PM","Huntington Ave Boston Ma",-71.099717,42.335857
626296,"10/26/12 7:30 PM","215 Hanover St Boston Ma 02113",-71.055123,42.362993,626296,"10/26/12 7:16 PM","840 Boylston St Boston Ma 02199",-71.082843,42.348387
646553,"10/28/12 9:57 PM","Unnamed Road Boston Ma",-71.021850,42.367547,646553,"10/28/12 9:45 PM","830 Boylston St Boston Ma 02199",-71.082665,42.348498
665990,"10/31/12 8:00 AM","76 Batterymarch St Boston Ma 02110",-71.053080,42.356693,665990,"10/31/12 7:52 AM","98 Whittier Pl Boston Ma 02114",-71.067308,42.365668
684792,"10/18/12 2:59 PM","198 Clarendon St Boston Ma 02116",-71.074688,42.349823,684792,"10/18/12 2:49 PM","Unnamed Road Boston Ma",-71.050353,42.348272
704226,"10/19/12 10:39 PM","1220 Commonwealth Ave Boston Ma",-71.130893,42.350600,704226,"10/19/12 10:19 PM","210 Tremont St Boston Ma 02116",-71.064755,42.351843
723984,"10/19/12 7:13 PM","208 Northern Ave Boston Ma 02210",-71.040542,42.349417,723984,"10/19/12 7:06 PM","70 School St Boston Ma 02108",-71.059570,42.358068
743958,"10/27/12 3:00 PM","Unnamed Road Boston Ma",-71.017302,42.366682,743958,"10/27/12 2:41 PM","35 Dalton St Boston Ma 02115",-71.084482,42.345902
763457,"10/30/12 2:11 AM","70 School St Boston Ma 02108",-71.059942,42.357965,763457,"10/30/12 2:07 AM","710 Boylston St Boston Ma 02116",-71.080037,42.349587
783693,"10/26/12 6:38 AM","Unnamed Road Boston Ma",-71.017205,42.366642,783693,"10/26/12 6:31 AM","250 Northern Ave Boston Ma 02210",-71.038963,42.348935
803500,"10/28/12 5:27 PM","306 Congress St Boston Ma 02210",-71.050070,42.351610,803500,"10/28/12 5:22 PM","400 Summer St Boston Ma",-71.043835,42.346895
822711,"10/11/12 4:54 PM","239 Summer St Boston Ma 02210",-71.053115,42.351680,822711,"10/11/12 4:46 PM","Unnamed Road Boston Ma",-71.022318,42.365370
